"모은 돈","saved money"
"초록색","green"
"생각보다 빨리 와서 놀랐습니다.","It came faster than I thought, so I was surprised."
"바꾸기가 복잡할 것 같아요.","It seems like an exchange would be complicated."
"서랍","drawer"
"자세히","carefully"
"배달되다","to be delivered"
"가전제품","home appliance"
"주방용품","kitchen utensils"
"중고품","used products"
"장난감","toy"
"사진기","camera"
"새 것 같은 물건","like new things"
"쓰레기를 줄이다","to reduce trash"
"폭죽을 터뜨리다","to set off fireworks/firecrackers"
"꽃다발","bouquet"
"차로 A를 B까지 데려다 주다","to take person A to place B by car"
"서둘다","to hurry"
"신랑과 신부","groom and bride"
"행사","event"
"섭섭하다","to feel (kind of) sad"
"설레다","to feel tingly, excited"
"따라 하다","to copy (someone else)"
"~이/가 서투르다","to be poor/unskilled at (e.g., 한국말)"
"손이 서투르다","to be clumsy with hands"
"유행하다","to be popular (e.g., an activity)"
"자원봉사","volunteering"
"게으르다","to be lazy"
"게을러지는 깃을 느끼다","to feel like you're becoming lazy"
"노인","elderly person"
"찾아가다","to go to see/meet someone"
"~지만 사실","but in fact (clausal connector)"
"건강을 위한 스트레칭","stretching for health"
"따라하다","to repeat, to imitate"
"마음 속으로","mentally"
"반대쪽","opposite side"
"똑바로 앉다","to sit up straight"
"세다","to count"
"발목","ankle"
"양쪽 눈","both eyes"
"손끝","fingertips"
"눌다","to press"
"펴다","to stretch out"
"앞쪽으로","forward"
"손바닥","palm"
"성적을 올리다","to improve (test) score (active)"
"성적이 올르다","for (test) score to improve (passive)"
"당기다","to pull"
"동작","motion"
"반복하다","to repeat"
"동그라미","circle"
"손목","wrist"
"그저께","the day before yesterday"
"심하다","to be a lot/excessive"
"기침이 심하다","to cough a lot"
"진료를 받다","to receive medical treatment"
"설명해 주다","to give an explanation"
"간호사","nurse"
"유학생","international student"
"알아보다","to investigate/look into"
"감기에 걸리다","to catch a cold"
"체온을 재다","to take one's temperature"
"진료비","doctor's fee"
"여행자 보험","traveler's insurance"
"보험","insurance"
"보험료","insurance fee"
"아깝다","to feel wasteful"
"익숙하다","to be experienced/familiar/skilled"
"게으르다","to be lazy, idle"
"대출해 주다","to loan"
"노인","elderly person"
"찾아가다","to go to see/meet someone"
"자원봉사","volunteering"
"떨리다","to be nervous"
"실수","mistake"
"자꾸","repeatedly"
"한참","for a while"
"들리다","to be heard"
"부드럽다","to be soft"
"부끄럽다","to be embarrassed"
"실수를 많이 하다","to make a lot of mistakes"
"예약","reservation, booking"
"직접 만나서 이야기하다","to talk in person"
"늘다","to improve"
"답답하다","to feel stuck/frustrated"
"자신이 있다","to be confident"
"한국에 온 지 한 달쯤 됐다.","It's been about a month since I've come to Korea."
"외로울 때마다","every time I'm lonely"
"~에 대해서 알고 싶다","to want to know about ..."
"화상 통화","video chat"
"외롭다","to be lonely"
"화면","screen (e.g., computer)"
"눈물이 나다","to be teary"
"머리가 나쁘다","to be slow at learning; to be dull witted"
"단짝","best friend (shorter)"
"단짝 친구","best friend (longer)"
"깨우다","to wake someone up"
"심하게","excessive"
"설사","diarrhea"
"증상","symptom"
"주사를 맞다","to take an injection/shot"
"넘어지다","to fall down/trip over"
"붓다","to be swollen"
"다행히","fortunately"
"한의원","Korean traditional medicine clinic"
"한의사","Korean traditional medicine doctor"
"발목","ankle"
"떠나다","to leave/depart"
"서투른 한국말","clumsy/poor Korean"
"지나가는 차","passing cars"
"미래 대한 이야기하다","to talk about the future"
"~이/가 서투르다","to be clumsy/unskilled at ..."
"고생하다","to go through a hardship"
"긴장이 되다","to be nervous"
"돈을 아끼다","to be thrifty"
"얻어 타다","to catch a ride"
"군대에 가다","to enter the army"
"파도","wave"
